Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore
4,7501,R0,2,1,2542563,1 WATER STREET,Manhattan,1000047501,83,B
5,10,O4,4,1,1016406,115 BROAD STREET,Manhattan,1000050010,81,B
5,7501,R0,2,1,1354691,125 BROAD STREET,Manhattan,1000057501,80,B
7,7501,R0,2,3,47754,1 COENTIES SLIP,Manhattan,1000077501,,F
8,39,H3,4,1,46724,32 PEARL STREET,Manhattan,1000080039,40,D
8,51,H2,4,1,102407,6 WATER STREET,Manhattan,1000080051,,F
8,7501,R0,2,1,169061,2 WATER STREET,Manhattan,1000087501,1,D
9,1,O4,4,1,692431,34 WHITEHALL STREET,Manhattan,1000090001,87,A
9,14,O4,4,1,544015,17 STATE STREET,Manhattan,1000090014,78,B
9,29,O4,4,1,896956,24 STATE STREET,Manhattan,1000090029,67,C
